task_id,task_name,category
217,django__django-10880,Hard
218,django__django-14999,Hard
219,django__django-10914,Medium
220,django__django-15315,Hard
221,django__django-11119,Medium
222,django__django-15499,Easy
223,django__django-11133,Medium
224,django__django-15569,Hard
225,django__django-11239,Easy
226,django__django-15851,Medium
227,django__django-11299,Hard
229,django__django-11490,Easy
230,django__django-15930,Hard
231,django__django-11555,Easy
232,django__django-16100,Medium
233,django__django-11603,Medium
235,django__django-11951,Easy
236,django__django-16255,Easy
237,django__django-12308,Hard
238,sympy__sympy-15017,Medium
239,django__django-12419,Hard
240,sympy__sympy-15345,Easy
241,django__django-13363,Hard
242,sympy__sympy-15809,Easy
243,django__django-13417,Medium
244,sympy__sympy-15875,Easy
245,django__django-13741,Easy
246,sympy__sympy-16450,Medium
248,sympy__sympy-16766,Easy
249,django__django-13933,Medium
250,sympy__sympy-17139,Hard
251,django__django-14089,Medium
252,sympy__sympy-17655,Easy
255,django__django-14493,Medium
256,sympy__sympy-19954,Hard
257,django__django-14539,Hard
258,sympy__sympy-21847,Medium
259,django__django-14580,Medium
260,sympy__sympy-22714,Hard
261,django__django-14752,Hard
262,sympy__sympy-23534,Medium
263,django__django-14855,Medium
264,sympy__sympy-24539,Medium
265,django__django-14915,Medium
266,sympy__sympy-24562,Easy
