name,hotkey,task_id,task_name,is_screener,pass_without,pass_with,tokens_without,tokens_with,comp_ratio,platform_score,run_count
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,217,django__django-10880,False,True,True,1126760,450595.8,2.501,1.4209003602960606,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,218,django__django-14999,False,False,False,1584982,644299,2.46,1.0962194629314461,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,219,django__django-10914,False,True,True,1229179,436812,2.814,1.509349734018759,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,220,django__django-15315,False,True,True,2228314,366275,6.084,1.8723583409411542,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,221,django__django-11119,False,True,True,885390,329836.4,2.684,1.4845607746523046,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,222,django__django-15499,False,True,True,884630,701078.2,1.262,0.2366598407283167,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,223,django__django-11133,False,True,True,1133375,398543.2,2.844,0.3655199370698246,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,224,django__django-15569,False,True,True,1827000,316628.6,5.77,1.7686623822081793,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,225,django__django-11239,False,True,True,432782,251608.4,1.72,0.5321386070934142,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,226,django__django-15851,False,True,True,439968,189215.8,2.325,1.4252950051328654,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,227,django__django-11299,False,False,True,917488,1244042,0.738,2.3849302933941035,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,228,django__django-15863,True,True,True,574499,344284.8,1.669,1.2063783831450727,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,229,django__django-11490,False,False,False,1021877,544899.6,1.875,0.03329576241710412,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,230,django__django-15930,False,False,False,713141,742322.2,0.961,0.757045881550936,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,231,django__django-11555,False,False,False,2033013,625461.6,3.25,0.44782639869576546,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,232,django__django-16100,False,True,True,664367,320077,2.076,2.375637144058431,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,233,django__django-11603,False,True,True,782437,295339.6,2.649,2.053837167126484,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,234,django__django-16139,True,True,True,542683,380769.8,1.425,0.16231788752388407,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,235,django__django-11951,False,True,True,1041765,275864,3.776,1.6678900318270327,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,236,django__django-16255,False,True,True,647943,289343,2.239,1.3688132389902719,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,237,django__django-12308,False,False,True,1797234,540239.6,3.327,2.933423971381424,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,238,sympy__sympy-15017,False,True,True,1129225,493705.8,2.287,1.4257858168370126,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,239,django__django-12419,False,True,True,1493751,306101,4.88,2.960418203334755,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,240,sympy__sympy-15345,False,False,False,756373,313495.8,2.413,0.06937036125119925,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,241,django__django-13363,False,True,True,1122536,292740.6,3.835,2.8613532373988595,5
m7,5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,242,sympy__sympy-15809,False,True,True,707107,382633.4,1.848,-0.7670566958460606,5
