category_scores,hotkey,last_submit,screener_passed,status,total_score
"{'Easy': 1.3469635185999342, 'Medium': 1.1272064666285235, 'Hard': 1.750730623477807}",5DhHqmB1BzyW6qsZ44EhajM8dXKChxRqB7vqZTwojm1WwsSz,2026-06-16T14:55:41.019513Z,True,scored,1.4095269365881329
"{'Easy': 1.4327108425531785, 'Medium': 1.4165100409122644, 'Hard': 1.3109494226776288}",5EFLeDNSU5Z2QqSGLZeEJkxV9PBM6EKTEDaB6b8QgHRXBwJY,2026-06-13T05:53:40.793774Z,False,failed review,1.3858036872375816
"{'Easy': 1.2805023155491622, 'Medium': 1.1965782069858548, 'Hard': 1.5246235712896468}",5G6J5dA18opafejjFtSsTXWjqp19nzQahGemNUmNQ66Tz8UW,2026-06-15T10:42:13.986307Z,True,scored,1.3349693455894034
"{'Easy': 1.1265061448577, 'Medium': 1.4212485790714267, 'Hard': 1.2814159120411155}",5GsHHNmexGGkrdjZPHW5jyCcgfUodazHeEhPBx4Rpxmy17KB,2026-06-16T08:52:00.656616Z,True,scored,1.2793878933327285
"{'Easy': 1.220380939739461, 'Medium': 1.4227524178332338, 'Hard': 1.0237331705698498}",5CJs9EmL4Doo7ra59BVmnmgDQDCPPDppwCQnL5GewDBFM816,2026-06-13T19:29:47.822402Z,True,scored,1.2223270007736753
"{'Easy': 1.0415929111075055, 'Medium': 1.1116580728498855, 'Hard': 1.4538794501474719}",5ECfdygSqeMH9h9uamHhD6VpZrtSCpA4PPBpVAuJQ7Y2VaN5,2026-06-11T07:51:01.448728Z,True,scored,1.22090736371716
"{'Easy': 0.8647182640379754, 'Medium': 1.5566869513014847, 'Hard': 1.1937691169835443}",5Dk5CXJq2KUafPDm9DagqsFQEqSCA212idjW9joVMQubmmRt,2026-06-16T03:18:34.191299Z,True,scored,1.211864907709062
"{'Easy': 0.8739184906406017, 'Medium': 1.3938603105982281, 'Hard': 1.3274507613552657}",5CkmCSL3fZ1y5RWjCRnNJtSGavyhJM4CRcDMgTPV2NALR9Mf,2026-06-16T06:29:02.098729Z,True,scored,1.2048996814691808
"{'Easy': 1.2598702519954719, 'Medium': 1.1173284649581792, 'Hard': 1.1579727708932346}",5DZU8JcduRKR9f4PSwJgVntqiBdVs6Cqx533F9M7Qbnwdrev,2026-06-15T10:42:33.336176Z,True,scored,1.1767609008280324
"{'Easy': 0.9316533452730393, 'Medium': 1.1153663792638575, 'Hard': 1.4368210417877458}",5GCWaCnbJkwJGo7FUjqNn1TNUySrZtz2PrwSyQyjYMobnZkw,2026-06-11T19:25:36.160197Z,True,scored,1.1665576352571332
"{'Easy': 1.373315594874235, 'Medium': 1.1909870974116634, 'Hard': 0.9235347106642156}",5GgUhFiG3Vx8EGPcq29FeXeWXRDXQq91fiXdBDueae3W5rkj,2026-06-12T20:16:30.758688Z,True,scored,1.1583984051055536
"{'Easy': 0.8742425978049635, 'Medium': 1.2490691372030698, 'Hard': 1.2804458474827012}",5HVTBzthVDi5v4TeLukANBbAXX9PVYW5K2hiMYKRWoik3cjk,2026-06-14T01:26:29.792341Z,False,failed review,1.13979272609075
"{'Easy': 0.710182445536546, 'Medium': 1.1352807076810825, 'Hard': 1.436726333882528}",5DM9q9FkbY6hj6swf8rQgb9Rh8ndUbRDw2hvu4FPLSaFFh2z,2026-06-12T15:01:08.891655Z,True,scored,1.1305920183725497
"{'Easy': 0.4708835251744814, 'Medium': 0.8602274740742546, 'Hard': 1.4544649812464057}",5F1M1CyXLxG5cyPgX6itTHGChQET9j2YQsNNHLphWPySP4g4,2026-06-11T20:33:57.822192Z,True,scored,1.1209198132578004
"{'Easy': 0.6652981462018159, 'Medium': 1.0656936809465911, 'Hard': 1.4788108380527358}",5GxLcCzndqqhQRCiVN4wxouY5RWnE7bFCXzgemD7r9SMYYoB,2026-06-11T22:47:54.976991Z,True,scored,1.1152877532005343
"{'Easy': 0.8729477910361769, 'Medium': 0.9841915084301922, 'Hard': 1.4386499800611574}",5H8ufxt36JczvvhfKdphUirU655QWRgRBM6gDWo5sxjzW37W,2026-06-10T15:29:33.805168Z,True,scored,1.1031093992186358
"{'Easy': 0.32556208157419775, 'Medium': 0.9615936875649194, 'Hard': 1.3850969939748747}",5DiPbbgTa2zFVFur2pTTwZ2DF5StgvExoEhWebwYzHHfNG2R,2026-06-09T23:09:22.653983Z,True,scored,1.095849583015723
"{'Easy': 0.9619638299195072, 'Medium': 0.7673266747171255, 'Hard': 1.5210146234985267}",5FWiPFWe2NCwcQVXM3ZHNpJjmFxdPp8oBZYkDH695yuDbztj,2026-06-12T07:57:07.107207Z,True,scored,1.0858644669675641
"{'Easy': 1.0204281570717857, 'Medium': 1.15917917328765, 'Hard': 1.0600659193098094}",5DskVPR8AKnK7RZHMnHFVXAmzTeybabERi4D5fdGoEWSjMda,2026-06-16T03:23:56.351680Z,True,scored,1.081080341746107
"{'Easy': 0.2301674821242683, 'Medium': 0.9555885331110661, 'Hard': 1.2962238422101224}",5GmxAVmh5aELdJdLFv6PjTFeX7FaTXtJBGwt1xHzCKyx1rfB,2026-06-11T14:32:14.972733Z,True,scored,1.0800042436882462
"{'Easy': 0.9789322488336181, 'Medium': 1.3677980292548693, 'Hard': 0.8870689890962069}",5Cqek9Ddsmxa1kPL3DZ91VbWYGAZKScoRrUN62jNF7GSofTZ,2026-06-13T15:22:14.856736Z,True,scored,1.0799131058661242
"{'Easy': 0.834070463026718, 'Medium': 1.033015227333868, 'Hard': 1.353058982046159}",5DCyrgZPMoxDoTzbbTVjgsek4hh7V2TPMetwA3RJ1WzAkrEc,2026-06-09T21:39:56.667745Z,True,scored,1.0781677793577593
"{'Easy': 1.0201491321543426, 'Medium': 0.8820322283817692, 'Hard': 1.3279939211113616}",5CaXJvVUAib6BoejpHeUgvgmno88iJhCPmDxQ539rgN3p8Uy,2026-06-10T13:09:58.081636Z,True,scored,1.0778566131170546
"{'Easy': 1.0679492850340582, 'Medium': 1.259591043541728, 'Hard': 0.9014026245082212}",5C5KNxMNSM8TnprZC5xKoZE8iHZNafFqoFaVBidz3CRRQAcu,2026-06-15T22:22:13.319935Z,True,scored,1.0764816183478807
"{'Easy': 0.6174284737154174, 'Medium': 0.9909820379478749, 'Hard': 1.512274192699886}",5HQwXjLCKzjZo8kwzhKuRXXPmKZF1PCoocVtRdawsELLwUnG,2026-06-10T09:26:11.212199Z,True,scored,1.0613161101446504
"{'Easy': 1.0812096636416886, 'Medium': 0.966124821224219, 'Hard': 1.1100168595139497}",5HGV7HPNry8TM8Yg1VkL7ixzfGXpBhVNXVpn2bdNLBSRKXwo,2026-06-16T03:21:19.167139Z,True,scored,1.0518752638163171
"{'Easy': 0.9461056854567191, 'Medium': 0.9753760293299107, 'Hard': 1.220159137933452}",5H3CxYwb9jkESJxpScniak1gxb33SopnaPMdDMEkeAXUPZF7,2026-06-12T15:01:24.394578Z,True,scored,1.0492357762156947
